Address,Description,Value
40000,"GEN 1:1","In the beginning God"
40001,"GEN 1:2","And the earth was wi"
40002,"GEN 1:3","And God said, Let th"
40003,"GEN 1:4","And God saw the ligh"
40004,"GEN 1:5","And God called the l"
40005,"GEN 1:6","And God said, Let th"
40006,"GEN 1:7","And God made the fir"
40007,"GEN 1:8","And God called the f"
40008,"GEN 1:9","And God said, Let th"
40009,"GEN 1:10","And God called the d"
40010,"GEN 1:11","And God said, Let th"
40011,"GEN 1:12","And the earth brough"
40012,"GEN 1:13","And the evening and "
40013,"GEN 1:14","And God said, Let th"
40014,"GEN 1:15","And let them be for "
40015,"GEN 1:16","And God made two gre"
40016,"GEN 1:17","And God set them in "
40017,"GEN 1:18","And to rule over the"
40018,"GEN 1:19","And the evening and "
40019,"GEN 1:20","And God said, Let th"
40020,"GEN 1:21","And God created grea"
40021,"GEN 1:22","And God blessed them"
40022,"GEN 1:23","And the evening and "
40023,"GEN 1:24","And God said, Let th"
40024,"GEN 1:25","And God made the bea"
40025,"GEN 1:26","And God said, Let us"
40026,"GEN 1:27","So God created man i"
40027,"GEN 1:28","And God blessed them"
40028,"GEN 1:29","And God said, Behold"
40029,"GEN 1:30","And to every beast o"
40030,"GEN 1:31","And God saw every th"
40031,"GEN 2:1","Thus the heavens and"
40032,"GEN 2:2","And on the seventh d"
40033,"GEN 2:3","And God blessed the "
40034,"GEN 2:4","These are the genera"
40035,"GEN 2:5","And every plant of t"
40036,"GEN 2:6","But there went up a "
40037,"GEN 2:7","And the LORD God for"
40038,"GEN 2:8","And the LORD God pla"
40039,"GEN 2:9","And out of the groun"
40040,"GEN 2:10","And a river went out"
40041,"GEN 2:11","The name of the firs"
40042,"GEN 2:12","And the gold of that"
40043,"GEN 2:13","And the name of the "
40044,"GEN 2:14","And the name of the "
40045,"GEN 2:15","And the LORD God too"
40046,"GEN 2:16","And the LORD God com"
40047,"GEN 2:17","But of the tree of t"
40048,"GEN 2:18","And the LORD God sai"
40049,"GEN 2:19","And out of the groun"
40050,"GEN 2:20","And Adam gave names "
40051,"GEN 2:21","And the LORD God cau"
40052,"GEN 2:22","And the rib, which t"
40053,"GEN 2:23","And Adam said, This "
40054,"GEN 2:24","Therefore shall a ma"
40055,"GEN 2:25","And they were both n"
40056,"GEN 3:1","Now the serpent was "
40057,"GEN 3:2","And the woman said u"
40058,"GEN 3:3","But of the fruit of "
40059,"GEN 3:4","And the serpent said"
40060,"GEN 3:5","For God doth know th"
40061,"GEN 3:6","And when the woman s"
40062,"GEN 3:7","And the eyes of them"
40063,"GEN 3:8","And they heard the v"
40064,"GEN 3:9","And the LORD God cal"
40065,"GEN 3:10","And he said, I heard"
40066,"GEN 3:11","And he said, Who tol"
40067,"GEN 3:12","And the man said, Th"
40068,"GEN 3:13","And the LORD God sai"
40069,"GEN 3:14","And the LORD God sai"
40070,"GEN 3:15","And I will put enmit"
40071,"GEN 3:16","Unto the woman he sa"
40072,"GEN 3:17","And unto Adam he sai"
40073,"GEN 3:18","Thorns also and this"
40074,"GEN 3:19","In the sweat of thy "
40075,"GEN 3:20","And Adam called his "
40076,"GEN 3:21","Unto Adam also and t"
40077,"GEN 3:22","And the LORD God sai"
40078,"GEN 3:23","Therefore the LORD G"
40079,"GEN 3:24","So he drove out the "
40080,"GEN 4:1","And Adam knew Eve hi"
40081,"GEN 4:2","And she again bare h"
40082,"GEN 4:3","And in process of ti"
40083,"GEN 4:4","And Abel, he also br"
40084,"GEN 4:5","But unto Cain and to"
40085,"GEN 4:6","And the LORD said un"
40086,"GEN 4:7","If thou doest well, "
40087,"GEN 4:8","And Cain talked with"
40088,"GEN 4:9","And the LORD said un"
40089,"GEN 4:10","And he said, What ha"
40090,"GEN 4:11","And now art thou cur"
40091,"GEN 4:12","When thou tillest th"
40092,"GEN 4:13","And Cain said unto t"
